,
,
,PRAGMATAPRO 0.829 SYMBOLS
,
,
⌀,
⌁,
⌂,
⌃,
⌄,
⌅,
⌆,
⌇,
⌈,
⌉,
⌊,
⌋,
⌌,
⌍,
⌎,
⌏,
⌐,
⌑,
⌒,
⌓,
⌔,
⌕,
⌖,
⌗,
⌘,
⌙,
⌚,
⌛,
⌜,
⌝,
⌞,
⌟,
⌠,
⌡,
⌢,
⌣,
⌤,
⌥,
⌦,
⌧,
⌨,
〈,
〉,
⌫,
⌬,
⌭,
⌮,
⌯,
⌰,
⌱,
⌲,
⌳,
⌴,
⌵,
⌶,
⌷,
⌸,
⌹,
⌺,
⌻,
⌼,
⌽,
⌾,
⌿,
⍀,
⍁,
⍂,
⍃,
⍄,
⍅,
⍆,
⍇,
⍈,
⍉,
⍊,
⍋,
⍌,
⍍,
⍎,
⍏,
⍐,
⍑,
⍒,
⍓,
⍔,
⍕,
⍖,
⍗,
⍘,
⍙,
⍚,
⍛,
⍜,
⍝,
⍞,
⍟,
⍠,
⍡,
⍢,
⍣,
⍤,
⍥,
⍦,
⍧,
⍨,
⍩,
⍪,
⍫,
⍬,
⍭,
⍮,
⍯,
⍰,
⍱,
⍲,
⍳,
⍴,
⍵,
⍶,
⍷,
⍸,
⍹,
⍺,
⍻,
⍼,
⍽,
⍾,
⍿,
⎀,
⎁,
⎂,
⎃,
⎄,
⎅,
⎆,
⎇,alt option
⎈,
⎉,
⎊,
⎋,
⎌,
⎍,
⎎,
⎏,
⎐,
⎑,
⎒,
⎓,
⎔,
⎕,
⎖,
⎗,
⎘,
⎙,
⎚,
⎛,
⎜,
⎝,
⎞,
⎟,
⎠,
⎡,
⎢,
⎣,
⎤,
⎥,
⎦,
⎧,
⎨,
⎩,
⎪,
⎫,
⎬,
⎭,
⎮,
⎯,
⎰,
⎱,
⎲,
⎳,
⎴,
⎵,
⎶,
⎷,
⎸,
⎹,
⎺,
⎻,
⎼,
⎽,
⎾,
⎿,
⏀,
⏁,
⏂,
⏃,
⏄,
⏅,
⏆,
⏇,
⏈,
⏉,
⏊,
⏋,
⏌,
⏍,
⏎,
⏏,
⏐,
⏑,
⏒,
⏓,
⏔,
⏕,
⏖,
⏗,
⏘,
⏙,
⏚,
⏛,
⏜,
⏝,
⏞,
⏟,
⏡,
⏢,
⏣,
⏤,
⏥,
⏦,
⏧,
⏨,
⏩,
⏪,
⏫,
⏬,
⏭,
⏮,
⏯,
⏰,
⏱,
⏲,
⏳,
⏴,
⏵,
⏶,
⏷,
⏸,
⏹,
⏺,
⏻,
⏼,
⏽,
⏾,
⏿,
■,
□,
▢,
▣,
▤,
▥,
▦,
▧,
▨,
▩,
▪,
▫,
▬,
▭,
▮,
▯,
▰,
▱,
▲,
△,
▴,
▵,
▶,
▷,
▸,
▹,
►,
▻,
▼,
▽,
▾,
▿,
◀,
◁,
◂,
◃,
◄,
◅,
◆,
◇,
◈,
◉,
◊,
○,
◌,
◍,
◎,
●,
◐,
◑,
◒,
◓,
◔,
◕,
◖,
◗,
◘,
◙,
◚,
◛,
◜,
◝,
◞,
◟,
◠,
◡,
◢,
◣,
◤,
◥,
◦,
◧,
◨,
◩,
◪,
◫,
◬,
